Brand Name,Item Name,Calories needed to have 50g of added sugar
Kevita,Pineapple Peach Kombucha,200
Kevita,"Sparkling Probiotic Drink, Lemon Ginger",225
Kevita,Giner Master Brew Kombucha,200
Kevita,Kombucha,200
Kevita,Ginger Master Brew Kombucha,200
Kevita,Pineapple Peach Master Brew Kombucha,200
Kool-Aid,Caffeine Free Tropical Punch Drink Mix,196
Kool-Aid,Cherry Drink Mix,196
Kool-Aid,Orange Flavored Soda,206
Kool-Aid,Grape Flavored Soda,212
Kool-Aid,Caffeine Free Grape Drink Mix,200
Kool-Aid,Black Cherry Soda,227
Kool-Aid,Drink Mix,204
Laziza,Non-Alcoholic Apple Malt Beverage,316
Laziza,Non-Alcoholic Peach Malt Beverage,316
Laziza,Non-Alcoholic Pineapple Malt Beverage,316
Laziza,Non-Alcoholic Pomegranate Malt Beverage,316
Lester's Fixins,"Soda, Pickle Flavored",202
Lipton,Peach Iced Tea,200
Lipton,Fusions Lemonade Iced Tea,196
Lipton,Raspberry White Tea,214
Lipton,Pineapple Mango Lemonade Iced Tea,196
Lipton,"Iced Tea, Lemon",208
Lipton,"Green Tea, With Citrus",207
Lipton,Green Tea Citrus,194
Lipton,Sweetened Lemon Ice Tea Mix,208
Lipton,Iced Sweet Tea,188
Lipton,Lemon Iced Tea,208
Lipton,Peach Flavor Georgia Style Iced Tea,200
Lipton,Black Tea with Lemon Tea Concentrate,200
Lipton,"Green Tea, Watermelon",205
Lorina,Blood Orange Flavored Sparkling Beverage,200
Lorina,Artisanal Sparkling Lemonade,204
Lorina,Artisanal Sparkling Blood Orange,204
Lorina,Sparkling Pink Lemonade,210
Maine Root,"Non Alcoholic Ginger Spicy Brew,",207
Maine Root,Sarsaparilla,207
Maine Root,Mexican Cola,207
Maine Root,Caffeine Free Blueberry Soda,207
Manzanita Sol,Apple Juice Drink,188
Manzanita Sol,Apple Juice,188
Manzanita Sol,"Soda, Apple",188
Mello Yello,"Soda, Citrus Flavored",191
Mello Yello,Citrus Flavored Soda,191
Merchant's Craft,Caffeine Free Root Beer,214
Merchant's Craft,Washington Apple Soft Drink,219
Merchant's Craft,Caffeine Free Lemon Lime Soft Drink,203
