Pesticide Type,EPA Reg. #,EPA Prod Name,Volume in Gallons,Weight in Pounds,Total Applications,Active Ingredient Data,tox_cd,EPA Carcinogen,Prop65 Developmental Toxin,IARC Carcinogen
Insecticide,DCAS,100-1486,DUPONT ADVION COCKROACH BAIT ARENA,0,0.02,1,Indoxacarb,3,NO,NO,NO
Rodenticide,DEP,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,430.92,930,Difethialone,3,NO,NO,NO
Rodenticide,DEP,7173-202,MAKI MINI BLOCKS,0,206.29,199,Bromadiolone,3,NO,NO,NO
Rodenticide,DEP,12455-69,CONTRAC RODENTICIDE,0,21.77,42,Bromadiolone,3,NO,NO,NO
RODENTICIDE,DEP,12455-137-3240,RAMPAGE PELLETED BAIT,0.01,0.66,20,Bromethalin,3,NO,NO,NO
Rodenticide,DEP,7173-308,Chlorophacinone Soft Bait,0,5.44,16,Chlorophacinone,3,NO,NO,NO
RODENTICIDE,DEP,12455-132-3240,TOMCAT WITH BROMETHALIN BAIT CHUNX,0,5,6,Bromethalin,3,NO,NO,NO
Rodenticide,DEP,12455-146,CONTRAC SOFT BAIT,0,1.59,6,Bromadiolone,3,NO,NO,NO
Rodenticide,DEP,7173-258-3282,D-CON BAIT PASTE POUCHES,0,1.81,2,Difethialone,3,NO,NO,NO
Rodenticide,DEP,12455-89,FINAL ALL-WEATHER BLOX,0,0.18,2,Brodifacoum,3,NO,NO,NO
Rodenticide,DEP,7173-205,GENERATION PELLETS,0,1.25,1,Difethialone,3,NO,NO,NO
Rodenticide,DEP,12455-79,CONTRAC ALL-WEATHER BLOX,0,0.12,1,Bromadiolone,3,NO,NO,NO
Insecticide,DEP,101563-4,SUSPEND SC INSECTICIDE,0.08,0,25,Deltamethrin,3,NO,NO,NO
Insecticide,DEP,1021-1641-57076,CONQUER RESIDUAL INSECTICIDE CONCENTRATE,0.19,0,23,Esfenvalerate,3,NO,NO,NO
Insecticide,DEP,241-392,PHANTOM TERMITICIDE-INSECTICIDE,0.77,0,13,Chlorfenapyr,3,YES,NO,NO
Insecticide,DEP,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0.05,0,12,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,DEP,149-8-64405,TERRO PCO LIQUID ANT BAIT,0.08,0,7,Borax,3,NO,NO,NO
Insecticide,DEP,101563-165,TEMPRID SC-F INSECTICIDE,0.05,0,7,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,DEP,64405-2,REDZONE BAIT,0,2.13,7,Boric acid,3,NO,NO,NO
Insecticide,DEP,9688-190-8845,SPECTRACIDE DESTROYER BRAND WASP & HORNET KILLER,1.41,0,6,"Cyhalothrin, lambda; Prallethrin",3,NO,NO,NO
Insecticide,DEP,100-1498,DUPONT ADVION ANT GEL,0.01,0.07,6,Indoxacarb,3,NO,NO,NO
Insecticide,DEP,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,0.21,4,Indoxacarb,3,NO,NO,NO
Insecticide,DEP,499-496,PRESCRIPTION TREATMENT BRAND ADVANCE 360A DUAL CHOICE ANT BAIT STATIONS,0,0,1,Avermectin,3,NO,YES,NO
HERBICIDE,DEP,83100-76,GF-1280,2.41,0,29,"Glyphosate, dimethylammonium salt",3,NO,NO,YES
HERBICIDE,DEP,7969-464,"FINALE XL ",32.23,0,17,Glufosinate-ammonium,2,NO,NO,NO
Herbicide,DEP,7969-443,DERRINGER HERBICIDE,0.45,0,6,Glufosinate-ammonium,2,NO,NO,NO
Herbicide,DEP,7969-444,FINALE HERBICIDE,18,0,3,Glufosinate-ammonium,2,NO,NO,NO
Herbicide,DEP,42750-247,DUPONT KRENITE S BRUSH CONTROL AGENT,2.5,0,2,"Fosamine, ammonium salt",3,NO,NO,NO
Rodenticide,DHS,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,72.8,465,Difethialone,3,NO,NO,NO
RODENTICIDE,DHS,7173-310,Bromethalin Soft Bait II,0,16.4,97,Bromethalin,3,NO,NO,NO
Rodenticide,DHS,12455-146,CONTRAC SOFT BAIT,0,5.73,33,Bromadiolone,3,NO,NO,NO
