Pesticide Type	EPA Reg. #	EPA Prod Name	Volume in Gallons	Weight in Pounds	Total Applications	Active Ingredient Data	tox_cd	EPA Carcinogen	Prop65 Developmental Toxin	IARC Carcinogen
Insecticide,53883-415,CSI 16-105 Delta+Tekko Pro Aerosol,0,1.41,5,Deltamethrin; Novaluron; Pyriproxyfen,3,NO,NO,NO
Insecticide,101563-93,TEMPO 1% PROFESSIONAL INSECTICIDE,0,1.06,5,Cyfluthrin,3,NO,NO,NO
INSECTICIDE,53883-455,CSI 16-172A Aerosol,0,0.63,5,"Imidacloprid, Indoxacarb, Novaluron, Pyriproxyfen",3,NO,NO,NO
Insecticide,73049-39,DIPEL DF DRY FLOWABLE BIOLOGICAL INSECTICIDE,0,0.12,5,"Bacillus thuringiensis, subsp. Kurstaki, strain ABTS-351, fermentation solids and solubles",3,NO,NO,NO
INSECTICIDE,53883-389,CSI 16-145 Lambda Cyhalothrin,0,0,5,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,279-3457,TRIPLE CROWN GOLF INSECTICIDE,3.05,0,4,"Bifenthrin; Cypermethrin, zeta; Imidacloprid",2,YES,NO,NO
Insecticide,100-1489,DUPONT ACELEPRYN INSECTICIDE,2.51,0,4,Chlorantraniliprole,0,NO,NO,NO
INSECTICIDE,86869-5,LAMBDA SELECT,0.93,0,4,"Cyhalothrin, lambda",2,NO,NO,NO
Insecticide,82074-1,MYCOTROL ES,0.05,0,4,Beauveria bassiana GHA,3,NO,NO,NO
Insecticide,8033-109-279,TRANSPORT (R) MIKRON INSECTICIDE,0.04,0,4,Acetamiprid; Bifenthrin,3,YES,NO,NO
INSECTICIDE,68850-2,LABYRINTH TERMITE BAIT,0,9.39,4,Diflubenzuron,3,NO,NO,NO
Insecticide,101563-14,DELTAGARD G INSECTICIDE GRANULE,0,8.63,4,Deltamethrin,3,NO,NO,NO
INSECTICIDE,53883-384,CSI WASP KILLER,0,0.75,4,Prallethrin,3,NO,NO,NO
Insecticide,2724-421,ZOECON RF-292 BRIQUET,0,0.26,4,S-Methoprene,3,NO,NO,NO
Insecticide,53883-283,DM DUST 0.05% INSECTICIDE,0,0.04,4,Deltamethrin,3,NO,NO,NO
INSECTICIDE,73049-498,PROGIBB LV PLUS PLANT GROWTH REGULATOR SOLUTION,0,0,4,Gibberellins,3,NO,NO,NO
Insecticide,69526-5,PURESPRAY SPRAY OIL 10E,16.41,0,3,Mineral oil,3,NO,NO,NO
Insecticide,101563-60,MERIT 2F INSECTICIDE,12.35,0,3,Imidacloprid,3,NO,NO,NO
Insecticide,100-1088,SCIMITAR GC INSECTICIDE,5.65,0,3,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,432-1312-67760,GARANT T&O 2F,4.13,0,3,Imidacloprid,NULL,NO,NO,NO
