NTACODE,BORO,BoroCode,NTA_NAME,TotalPM,PM_tertiles,TotalNOx,NOx_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
QN0301,Queens,4,Jackson Heights,3.982348855,High,79.13058204,High,High,High,Low,Medium
QN0302,Queens,4,East Elmhurst,4.164375873,High,83.46550285,High,Medium,Low,Medium,High
QN0303,Queens,4,North Corona,1.073512807,Low,21.54633127,Low,Medium,Low,Medium,Medium
QN0401,Queens,4,Elmhurst,4.734138982,High,93.52132016,High,High,High,High,Medium
QN0402,Queens,4,Corona,1.85147452,Medium,36.49473524,Medium,High,Medium,High,Medium
QN0501,Queens,4,Maspeth,7.241437141,High,144.6139542,High,Medium,High,High,Medium
QN0502,Queens,4,Ridgewood,2.747019534,Medium,53.50290982,Medium,High,High,High,Low
QN0503,Queens,4,Glendale,2.432624464,Medium,48.50945216,Medium,Medium,Medium,High,Medium
QN0504,Queens,4,Middle Village,3.311489545,Medium,66.43212369,Medium,Medium,Medium,High,Medium
QN0571,Queens,4,Mount Olivet & All Faiths Cemeteries,0.230496627,Low,4.513774233,Low,Low,Low,Low,Low
QN0572,Queens,4,Middle Village Cemetery,0.116852588,Low,2.297250131,Low,Low,Low,Low,Low
QN0573,Queens,4,St. John Cemetery,0.633647214,Low,12.70959255,Low,Low,Low,Low,Medium
QN0574,Queens,4,Highland Park-Cypress Hills Cemeteries (North),2.441438486,Medium,49.61538617,Medium,Low,Low,Low,High
QN0601,Queens,4,Rego Park,4.829066084,High,96.99477742,High,Medium,Medium,Low,High
QN0602,Queens,4,Forest Hills,5.466319568,High,108.7726483,High,High,High,Low,Medium
QN0701,Queens,4,College Point,4.147909183,High,82.54758662,High,Medium,Medium,High,Low
QN0702,Queens,4,Whitestone-Beechhurst,3.267963774,Medium,65.17432194,Medium,Medium,Medium,High,Low
QN0703,Queens,4,Bay Terrace-Clearview,4.69457813,High,94.02146175,High,Medium,Medium,Low,Medium
QN0704,Queens,4,Murray Hill-Broadway Flushing,3.763961834,High,74.64793619,High,High,High,Medium,Low
QN0705,Queens,4,East Flushing,1.141407712,Low,22.09260225,Low,Medium,Medium,Medium,Low
QN0706,Queens,4,Queensboro Hill,5.730046189,High,115.1862965,High,Low,Low,Low,High
QN0707,Queens,4,Flushing-Willets Point,6.072210764,High,120.2108721,High,High,High,High,Medium
QN0761,Queens,4,Fort Totten,0.077890841,Low,1.596790132,Low,Low,Low,Low,Low
QN0791,Queens,4,Kissena Park,0.145577473,Low,2.826579698,Low,Low,Low,Low,Low
QN0801,Queens,4,Kew Gardens Hills,2.053430069,Medium,40.43974236,Medium,Medium,High,Low,Low
QN0802,Queens,4,Pomonok-Electchester-Hillcrest,2.753594389,Medium,54.55889816,Medium,Medium,Medium,Low,Low
QN0803,Queens,4,Fresh Meadows-Utopia,3.862427685,High,77.17060832,High,Medium,Low,Medium,Medium
QN0804,Queens,4,Jamaica Estates-Holliswood,3.548066758,Medium,71.56472685,High,Low,Medium,Low,High
QN0805,Queens,4,Jamaica Hills-Briarwood,4.940866727,High,99.29174664,High,Medium,Medium,Medium,High
