Brand Name,Item Name,Calories needed for 50g added sugar,NFL: Calories,NFL: Added Sugars
Squirt,Ruby Red Thirst Quencher,189,170,45
Starbucks,Frappuccino Chilled Coffee Drink,422,270,32
Starbucks,Peppermint Mocha Coffee Drink,441,300,34
Starbucks,Vanilla Chilled Coffee Drink,453,290,32
Starbucks,Caramel Chilled Coffee Drink,469,300,32
Starbucks,"Caramel Macchiato Chilled, Espresso Beverage",500,190,19
Starbucks,Vanilla Latte Iced Espresso,475,190,20
Starbucks,Pumpkin Spice Frappuccino,469,300,32
Starbucks,Vanilla Coffee Drink,476,200,21
Starbucks,White Chocolate Mocha Chilled Coffee Drink,469,300,32
StarKist,Strawberry Orange Soda,191,260,68
Starry,Caffeine Free Lemon Lime Flavored Soda,192,150,39
Stewart's,Root Beer,197,150,38
Stewart's,"Fountain Classics, Cream Soda",198,170,43
Stewart's,Black Cherry Wishniak Soda,205,180,44
Stewart's,Orange and Cream Soda,200,180,45
Stubborn Soda,Agave Vanilla Cream Soda,197,150,38
Stubborn Soda,Classic Root Beer Soda,192,150,39
Stubborn Soda,Black Cherry Tarragon,194,140,36
Summit,Cola,205,160,39
Summit,"Cola, Naturally Flavored Soda",205,160,39
Summit,Red Thunder Berry Energy Drink,216,160,37
Sun Drop,Citrus Soda,189,170,45
Sun Drop,Cherry Lemon Citrus Soda,190,240,63
Sunkist,"Carbonated Water, Orange",191,260,68
Sunkist,Berry Lemonade Soda,198,170,43
Sunkist,Strawberry Soda,189,170,45
Sunkist,Strawberry Orange Soda,183,150,41
Sunkist,Orange Soda,183,150,41
Sunny D,Orange Citrus Punch,265,90,17
Sunny D,Blue Raspberry Drink,222,80,18
Sunny D,Frozen Tangy Original Drink,526,200,19
Tazo,Classic Chai Latte Black Tea Concentrate,229,110,24
Tazo,"Black Tea Concentrate, Pumpkin Spice Latte",200,120,30
Tazo,Decaf Chai Latte Black Tea Concentrate,196,90,23
Tazo,Espresso Chai Latte Black Tea Concentrate,250,80,16
Tazo,"Green Tea Concentrate, Matcha Latte",217,100,23
Topo Chico,Margarita Flavored Alcohol Beverage,528,190,18
Topo Chico,Prickly Pear Margarita,528,190,18
Topo Chico,Tonic Water,222,80,18
Tropicana,Spicy Sweet Pumpkin Spice Latte Iced Espresso,523,230,22
Tropicana,Pineapple Mango Juice Drink Blend,227,100,22
Tropicana,Classic Lemonade,214,120,28
Tropicana,Cranberry Juice Beverage,232,130,28
Tropicana,Tropical Punch Juice Drink Blend,250,90,18
Tropicana,Strawberry Peach Juice Drink Blend,250,90,18
Twister,Fruit Punch Juice Drink,229,110,24
Twister,Grape Punch Juice Drink,227,100,22
Twister,Tropical Punch Juice Drink,250,110,22
V8,Strawberry Kiwi Juice Beverage,235,80,17
V8,Fruit Medley,255,112,22
V8,Mango Peach Beverage,235,80,17
Vernors,Black Cherry Ginger Soda,197,150,38
Vernors,Creamy Vanilla & Ginger Soda,197,150,38
Vernors,The Original Ginger Soda,184,140,38
Virgil's,Root Beer,202,170,42
Virgil's,Naturally Bold Root Beer,202,170,42
Virgil's,Handcrafted Vanilla Cream,202,170,42
Virgil's,Handcrafted Black Cherry Sparkling Filtered Water,202,170,42
Virgil's,Handcrafted Root Beer,202,170,42
Vitamin Water,Energy Tropical Citrus Water Beverage,185,100,27
Vitamin Water,"Power-C, Dragon Fruit Nutrient Enhanced Water Beverage",196,90,23
Vitamin Water,"Focus, Kiwi-Strawberry Nutrient Enhanced Water Beverage",192,100,26
Vitamin Water,"Elevate, Blue Raspberry Limeade Nutrient Enhanced Water Beverage",192,100,26
Vitamin Water,"Refresh, Tropical Mango Nutrient Enhanced Water Beverage",185,100,27
Warheads,Super Sour Double Drops,300,90,15
Warheads,Sour Lemon Soda,214,150,35
Warheads,Sour! Watermelon Soda,214,150,35
Warheads,"Sour!, Blue Raspberry Soda",214,150,35
Warheads,Sour Grape Soda,214,150,35
WBC,Spicy Ginger Craft Sodas,213,260,61
WBC,Chicago Style Root Beer,203,260,64
WBC,Blue Raspberry Craft Sodas,192,230,60
WBC,Black Cherry Craft Sodas,203,260,64
WBC,Maraschino Cherry Cola Craft Sodas,200,240,60
WBC,Vanilla Cream Craft Soda,213,260,61
Wild Bill's,Root Beer,198,170,43
Wild Bill's,Blazing Black Cherry With Pure Cane Sugar,200,180,45
Wild Bill's,Vintage Vanilla Cream Soda,198,170,43
Wild Bill's,Outlaw Orange Cream Old Fashioned Soda Pop,202,190,47
Wild Bill's,Original Cola,198,170,43
Yerba Mate,Watermelody Organic Yerba Mate,222,80,18
